Timestamp,Source_Node_ID,RSSI_dBm,Noise_Floor_dBm,PDR_Percentage,Packet_Drop_Count,Bit_Error_Rate,Throughput_Kbps,Jitter_ms,Label,SNR_dB,Class_ID
1764623731.1713166,25,-38.99,-88.73,96.4,0,0.000981161817503736,281.89,4.27,Normal,49.73,0
1764623408.8713167,12,-43.39,-93.12,99.04,0,0.0008501856414977549,218.72,8.83,Normal,49.73,0
1764623319.2713165,2,-49.89,-56.91,11.82,96,0.13204549375663482,12.87,113.0,Jamming,7.02,1
1764624860.7713165,41,-53.32,-92.57,98.54,0,0.0004316283956475618,271.77,3.42,Normal,39.24,0
1764624795.4713166,19,-42.84,-88.29,97.35,0,0.0008841969451488347,242.2,7.47,Normal,45.45,0
1764623714.6713166,44,-50.65,-46.99,6.65,56,0.23419752886487,14.12,455.5,Jamming,-3.66,1
1764624811.9713166,31,-52.7,-88.91,98.38,0,0.0008886132386892821,273.0,1.8,Normal,36.21,0
1764624749.8713167,23,-52.97,-49.46,29.98,79,0.17248769259565122,11.39,274.25,Jamming,-3.51,1
1764624218.6713166,36,-46.97,-89.78,95.24,0,0.0002958900722679077,219.06,7.11,Normal,42.81,0
1764623434.4713166,2,-67.64,-50.04,12.32,58,0.25581546489993245,0.89,441.39,Jamming,-17.6,1
1764624528.6713166,18,-41.26,-91.06,96.53,0,0.0007480773720561458,240.43,1.04,Normal,49.8,0
1764624308.3713167,32,-39.75,-86.68,96.84,0,0.0008017381455313612,247.62,6.71,Normal,46.93,0
1764624088.3713167,46,-36.1,-88.7,97.62,0,0.0006248223479009948,251.13,9.3,Normal,52.6,0
1764623272.4713166,19,-38.99,-88.91,98.62,0,0.0007733934807526279,261.73,4.79,Normal,49.91,0
1764625144.4713166,18,-67.64,-46.56,22.81,72,0.2495218557856901,10.4,353.96,Jamming,-21.08,1
1764624169.7713165,17,-28.18,-89.45,81.91,9,0.005242905744392371,138.36,128.89,Spoofing,61.28,2
1764623781.2713165,26,-45.93,-93.1,95.66,0,0.0002001450645920532,254.53,2.35,Normal,47.17,0
1764624539.0713167,8,-48.17,-92.15,99.15,0,0.00012660368606900503,281.84,6.56,Normal,43.98,0
1764624887.4713166,17,-33.7,-91.74,96.26,0,0.0002103280299944495,236.64,7.9,Normal,58.04,0
1764623342.9713166,42,-45.47,-92.04,99.17,0,0.00017565164162065193,236.67,9.37,Normal,46.57,0
1764625140.2713165,17,-66.86,-48.55,26.32,62,0.14577751911647352,7.44,255.24,Jamming,-18.31,1
1764625093.0713167,43,-55.82,-49.82,10.15,67,0.12726666249882837,12.95,495.11,Jamming,-6.0,1
1764623265.0713167,15,-44.62,-84.4,99.5,0,0.0006976953859281278,247.7,8.18,Normal,39.78,0
1764623722.3713167,32,-55.35,-47.49,16.88,87,0.2728058695969754,1.7,361.19,Jamming,-7.86,1
1764624232.9713166,12,-37.25,-87.41,98.8,0,0.0008807472352405367,226.58,1.36,Normal,50.16,0
1764623169.2713165,35,-53.96,-89.93,97.63,0,0.0003934289980765459,237.78,2.31,Normal,35.97,0
1764624535.0713167,43,-54.97,-91.06,99.3,0,0.0009988800517132575,250.93,2.94,Normal,36.09,0
1764624351.7713165,46,-58.47,-55.01,12.97,73,0.21255135948016435,18.12,315.25,Jamming,-3.46,1
1764624444.2713165,6,-45.29,-88.14,99.74,0,0.000950020800860612,230.21,7.31,Normal,42.85,0
1764623669.8713167,37,-47.7,-91.79,99.74,0,0.00034214452017517654,266.69,7.54,Normal,44.09,0
1764623503.1713166,17,-45.89,-88.92,98.32,0,0.0008857745214008378,223.51,9.57,Normal,43.03,0
1764624589.2713165,39,-45.45,-93.99,97.05,0,0.0008698577466590118,292.04,8.82,Normal,48.54,0
1764624841.6713166,49,-33.81,-90.48,96.05,0,0.0005376265905299117,255.43,8.03,Normal,56.67,0
1764624752.4713166,23,-44.39,-89.22,95.64,0,0.00044132041995654424,267.38,3.02,Normal,44.82,0
1764623798.0713167,29,-51.26,-90.3,95.23,0,0.00045774417838168074,238.67,8.81,Normal,39.04,0
1764624976.5713167,34,-46.95,-87.99,96.67,0,0.0003824465749331773,263.84,1.72,Normal,41.04,0
1764623889.6713166,37,-58.94,-48.0,14.89,67,0.1649264659210566,11.99,318.18,Jamming,-10.94,1
1764624248.0713167,7,-55.72,-91.76,95.39,0,0.00037827602283014325,238.48,8.15,Normal,36.04,0
1764624022.6713166,38,-29.86,-87.88,85.34,8,0.003035200693917861,231.54,85.28,Spoofing,58.02,2
1764624912.6713166,34,-42.25,-91.43,96.64,0,0.00039232485110406683,264.63,7.6,Normal,49.18,0
1764623835.2713165,13,-36.82,-87.47,96.51,0,0.0007718440415549299,231.69,1.85,Normal,50.65,0
1764624689.1713166,42,-59.28,-44.12,28.16,70,0.10338367937462574,20.0,397.03,Jamming,-15.15,1
1764623976.5713167,41,-44.41,-90.56,99.34,0,0.0008562930555445935,252.31,7.22,Normal,46.15,0
1764625079.2713165,9,-28.2,-85.96,81.99,5,0.0036876329803249954,290.5,138.08,Spoofing,57.76,2
1764625107.0713167,33,-58.61,-40.36,19.14,68,0.18395594086967093,14.86,130.84,Jamming,-18.25,1
1764624448.8713167,27,-47.79,-89.95,97.24,0,0.0004577892050489705,262.55,8.36,Normal,42.16,0
1764625020.2713165,30,-46.28,-90.25,98.87,0,0.0004996169494640094,248.05,1.69,Normal,43.97,0
1764623738.7713165,18,-57.26,-47.88,29.38,63,0.1646185369431495,17.58,165.04,Jamming,-9.38,1
1764624393.7713165,10,-48.48,-87.94,96.12,0,0.0009103866987644588,232.51,6.19,Normal,39.47,0
1764624011.5713167,37,-55.83,-51.4,22.05,96,0.16152114927691946,1.77,342.61,Jamming,-4.42,1
1764625050.1713166,3,-46.01,-90.57,98.99,0,0.0004693752334903836,261.39,1.03,Normal,44.57,0
1764623232.8713167,45,-49.59,-88.66,98.53,0,0.00028180402953722377,260.76,8.0,Normal,39.06,0
1764624214.5713167,4,-37.68,-93.99,98.4,0,0.0004306112698092941,278.87,7.12,Normal,56.31,0
1764623313.7713165,3,-36.54,-90.5,98.82,0,0.0005293609823739558,245.89,2.41,Normal,53.97,0
1764624300.8713167,43,-46.29,-86.93,95.09,0,0.0004328510389683994,272.46,3.49,Normal,40.63,0
1764624716.1713166,8,-42.62,-90.25,96.69,0,0.0004297836725055768,230.78,5.36,Normal,47.64,0
1764623487.3713167,19,-34.36,-88.4,90.06,6,0.007252775048926981,233.79,95.9,Spoofing,54.05,2
1764624217.9713166,6,-44.8,-91.23,97.81,0,0.0001589088565042134,266.89,2.64,Normal,46.43,0
1764624606.3713167,46,-29.82,-90.23,82.27,0,0.0027568432456475406,353.19,55.94,Spoofing,60.41,2
1764624666.3713167,32,-30.59,-88.09,95.66,0,0.0007649026384952962,243.25,6.09,Normal,57.5,0
1764623584.8713167,26,-43.94,-93.1,97.38,0,0.0003908914736595143,221.72,9.18,Normal,49.16,0
1764624606.2713165,17,-51.51,-90.27,98.18,0,0.0004072386597426168,204.37,5.36,Normal,38.75,0
1764625088.4713166,8,-46.13,-91.15,97.57,0,0.0006583890160783584,260.47,7.36,Normal,45.03,0
1764623979.5713167,5,-46.52,-93.39,95.06,0,0.0008181643414314495,250.67,2.3,Normal,46.87,0
1764623418.8713167,31,-66.27,-44.73,16.41,64,0.13524003934845888,11.74,344.42,Jamming,-21.54,1
1764624305.3713167,27,-47.06,-89.64,99.49,0,0.00027545070471466884,257.88,1.16,Normal,42.58,0
1764624546.0713167,47,-43.86,-89.27,95.04,0,0.0002734023759553115,234.34,2.19,Normal,45.41,0
1764624639.6713166,24,-40.91,-92.82,99.67,0,0.0005735342593243588,259.08,7.77,Normal,51.92,0
1764624274.4713166,28,-55.16,-50.02,18.0,80,0.17231030893594473,2.72,251.4,Jamming,-5.15,1
1764623449.5713167,19,-49.91,-88.63,99.69,0,0.0005617870111454247,256.83,7.46,Normal,38.72,0
1764623173.9713166,36,-45.03,-90.35,99.89,0,0.0007679550137464249,276.83,6.23,Normal,45.32,0
1764623362.6713166,45,-45.28,-88.55,99.87,0,0.00017361497158665718,278.1,6.25,Normal,43.28,0
1764625100.5713167,9,-43.89,-92.78,97.78,0,0.0009057078472123582,225.56,9.54,Normal,48.88,0
1764623159.9713166,26,-38.16,-88.29,99.32,0,0.00020817532209731437,241.33,3.68,Normal,50.13,0
1764623811.6713166,15,-41.61,-88.52,97.15,0,0.0007063123993926314,251.45,2.83,Normal,46.92,0
1764625035.7713165,19,-36.6,-89.34,97.27,0,0.000599591340251368,270.65,2.2,Normal,52.74,0
1764624273.3713167,22,-57.71,-52.58,19.13,89,0.23908971081871092,10.12,365.44,Jamming,-5.13,1
1764623939.5713167,1,-43.75,-86.39,97.27,0,0.00027606431496331906,258.89,5.82,Normal,42.63,0
1764623821.3713167,34,-26.61,-90.55,99.73,0,0.0006841552400799164,233.42,6.62,Normal,63.94,0
1764623794.9713166,10,-50.14,-89.7,98.62,0,0.0005557839530156283,252.93,2.33,Normal,39.56,0
